given_name,family_name,gender,birth_date,country_of_origin,destination_country,destination_city,port_of_entry,visa_category,arrival_date,reason_for_migration,status_at_5_years,naturalization_date,asylum_related
Nina,Martinez,Male,2004-08-31,France,United Kingdom,London,Edinburgh Airport,Student,2025-06-25,Work,Citizen,2029-10-14,FALSE
Nina,Garcia,Male,1958-11-05,China,Canada,Montreal,Vancouver Intl,Family,2002-09-18,Work,Citizen,2012-09-14,FALSE
Carlos,Singh,Female,2005-03-16,Egypt,Germany,Hamburg,FRA,Refugee,2025-08-10,Work,Permanent Resident,,TRUE
Camila,Li,Male,1989-11-24,Afghanistan,United Kingdom,Birmingham,Stansted,Family,2015-01-09,Conflict/War,Permanent Resident,,TRUE
Liam,Singh,Male,1977-12-02,Nigeria,Sweden,Jonkoping,Arlanda,Student,2022-08-27,Family Reunification,Permanent Resident,,FALSE
Yuki,Novak,Female,1997-10-09,Algeria,Australia,Sydney,Sydney Airport,Family,2018-05-22,Conflict/War,Permanent Resident,,TRUE
Zoe,Nowak,Male,1970-02-11,Iraq,Sweden,Norrkoping,Arlanda,Asylum,2010-11-14,Study,Temporary Resident,,TRUE
Elena,Johnson,Female,1981-04-20,South Africa,France,Strasbourg,Orly,Work,2013-02-13,Climate/Disaster,Temporary Resident,,FALSE
Elena,Kumar,Male,2006-09-22,Nigeria,Netherlands,Utrecht,Rotterdam The Hague,Work,2025-07-26,Study,Permanent Resident,,FALSE
Nina,Ivanov,Female,1988-05-10,Guatemala,United States,Seattle,MIA,Skilled Worker,2015-03-02,Study,Permanent Resident,,FALSE
Noah,Schmidt,Male,1959-03-28,Pakistan,United States,Miami,LAX,Asylum,2016-10-14,Family Reunification,Citizen,2026-03-24,TRUE
Fatima,Rodriguez,Male,1957-06-08,China,Netherlands,Rotterdam,Rotterdam The Hague,Work,2023-10-27,Study,Temporary Resident,,FALSE
Leila,Rodriguez,Male,1986-01-06,El Salvador,Netherlands,The Hague,Eindhoven Airport,Work,2018-04-09,Persecution,Temporary Resident,,TRUE
Ibrahim,Zhang,Female,1950-10-27,Cuba,Canada,Ottawa,Ottawa Intl,Family,2017-07-09,Family Reunification,Permanent Resident,,FALSE
Elena,Silva,Male,1950-02-25,United Kingdom,France,Marseille,Orly,Family,2019-10-10,Family Reunification,Permanent Resident,,FALSE
Isabella,Davis,Male,1976-09-18,Afghanistan,Canada,Ottawa,Calgary Intl,Work,2020-01-05,Economic Opportunity,Permanent Resident,,FALSE
Mia,Brown,Female,1974-11-18,Venezuela,Australia,Canberra,Melbourne Airport,Diversity,2005-10-29,Persecution,Permanent Resident,,TRUE
Anita,Khan,Male,1964-01-03,South Africa,Netherlands,Tilburg,Schiphol,Family,2005-10-13,Climate/Disaster,Citizen,2011-06-05,FALSE
Leila,Kumar,Male,2001-04-03,Morocco,United States,Houston,ORD,Asylum,2019-12-27,Conflict/War,Permanent Resident,,TRUE
Zoe,Hernandez,Male,1964-11-16,Germany,Sweden,Helsingborg,Malmo Airport,Family,2003-07-07,Work,Permanent Resident,,FALSE
Hiro,Hassan,Female,1965-02-14,Germany,Italy,Rome,Naples Intl,Work,2003-06-08,Climate/Disaster,Permanent Resident,,FALSE
Noah,Costa,Male,1978-09-12,Syria,Spain,Malaga,Barcelona–El Prat,Investor,2003-11-23,Work,Citizen,2010-12-26,FALSE
Anna,Silva,Male,1950-01-25,Afghanistan,Canada,Mississauga,Vancouver Intl,Skilled Worker,2011-04-14,Family Reunification,Permanent Resident,,FALSE
Camila,Garcia,Female,1967-10-23,India,Sweden,Orebro,Arlanda,Work,2023-03-26,Family Reunification,Permanent Resident,,FALSE
Zoe,Brown,Female,1994-01-27,Iran,Canada,Calgary,Montreal-Trudeau,Refugee,2021-05-27,Work,Temporary Resident,,TRUE
Hassan,Moretti,Male,1988-04-03,Poland,Canada,Quebec City,Pearson Intl,Student,2010-06-20,Economic Opportunity,Citizen,2017-09-11,FALSE
Anita,Smith,Male,1974-04-13,Sri Lanka,Spain,Palma,Madrid–Barajas,Student,2008-03-07,Persecution,Temporary Resident,,TRUE
Ava,Lopez,Male,1956-11-23,Peru,Italy,Florence,Turin Airport,Work,2017-07-07,Persecution,Citizen,2024-11-13,TRUE
Hiro,Li,Male,1987-12-02,Vietnam,Netherlands,Rotterdam,Schiphol,Student,2013-10-31,Economic Opportunity,Temporary Resident,,FALSE
Olivia,Gonzalez,Female,1979-11-21,Argentina,Germany,Bremen,HAM,Work,2007-05-20,Family Reunification,Temporary Resident,,FALSE
Alex,Johnson,Female,1963-01-19,Iraq,Sweden,Stockholm,Malmo Airport,Humanitarian,2001-09-29,Study,Temporary Resident,,FALSE
Jin,Rodriguez,Female,1950-07-11,Bangladesh,Spain,Malaga,Malaga–Costa del Sol,Skilled Worker,2003-02-18,Economic Opportunity,Citizen,2014-06-02,FALSE
Olivia,Hernandez,Female,2002-08-15,Vietnam,Australia,Adelaide,Brisbane Airport,Family,2021-03-01,Study,Citizen,2032-04-09,FALSE
Leila,Chen,Male,1992-10-21,Honduras,United Kingdom,Birmingham,Heathrow,Diversity,2023-10-08,Work,Permanent Resident,,FALSE
Priya,Zhang,Female,2005-07-16,Ireland,Italy,Naples,Fiumicino,Family,2025-02-25,Family Reunification,Permanent Resident,,FALSE
Aria,Popov,Female,1986-10-31,Poland,United Kingdom,Edinburgh,Manchester Airport,Work,2007-02-02,Study,Departed,,FALSE
Ahmed,Ibrahim,Female,2007-05-11,Vietnam,Spain,Malaga,Palma de Mallorca,Family,2025-08-12,Family Reunification,Temporary Resident,,FALSE
Sofia,Kim,Non-binary,1966-04-15,Venezuela,Italy,Palermo,Naples Intl,Skilled Worker,2008-07-12,Work,Undocumented,,FALSE
Jin,Kumar,Female,1976-02-23,Afghanistan,Netherlands,Groningen,Schiphol,Student,2003-09-18,Work,Temporary Resident,,FALSE
Aria,Li,Female,1955-04-26,Malaysia,Canada,Ottawa,Pearson Intl,Refugee,2018-10-05,Work,Citizen,2025-02-05,TRUE
Yuki,Abdul,Female,1987-09-16,Venezuela,Australia,Gold Coast,Adelaide Airport,Family,2019-01-27,Work,Departed,,FALSE
Isabella,Popov,Female,1960-11-15,Egypt,Netherlands,Utrecht,Rotterdam The Hague,Refugee,2000-11-30,Family Reunification,Permanent Resident,,TRUE
Ibrahim,Nowak,Female,1952-09-24,Malaysia,Spain,Malaga,Madrid–Barajas,Work,2015-03-06,Work,Permanent Resident,,FALSE
Wei,Smith,Female,1963-07-03,El Salvador,Canada,Ottawa,Ottawa Intl,Diversity,2022-09-28,Work,Citizen,2026-01-09,FALSE
Yuki,Novak,Female,1977-06-08,Spain,Netherlands,Eindhoven,Schiphol,Family,2017-03-25,Family Reunification,Citizen,2028-10-04,FALSE
Hassan,Abdul,Female,1981-03-10,Greece,Netherlands,Almere,Schiphol,Family,2012-11-30,Family Reunification,Permanent Resident,,FALSE
Ibrahim,Ali,Female,1959-09-09,Bangladesh,Australia,Sydney,Brisbane Airport,Family,2023-12-17,Economic Opportunity,Citizen,2027-05-27,FALSE
Zoe,Davis,Female,1976-01-17,Germany,Netherlands,Nijmegen,Schiphol,Student,2003-11-30,Work,Temporary Resident,,FALSE
Omar,Bauer,Female,1998-07-26,Vietnam,Canada,Toronto,Calgary Intl,Work,2020-10-30,Study,Permanent Resident,,FALSE
Mia,Gonzalez,Male,2002-04-04,United Kingdom,United Kingdom,Birmingham,Heathrow,Family,2021-02-21,Study,Permanent Resident,,FALSE
Wei,Nowak,Male,1986-05-25,Iraq,Canada,Edmonton,Pearson Intl,Skilled Worker,2009-06-26,Work,Citizen,2013-04-30,FALSE
Omar,Martinez,Male,1950-03-01,China,Spain,Palma,Barcelona–El Prat,Student,2021-02-03,Work,Departed,,FALSE
Olivia,Wang,Female,1996-03-21,Mexico,Italy,Genoa,Turin Airport,Student,2017-12-29,Economic Opportunity,Temporary Resident,,FALSE
Ibrahim,Martinez,Female,1959-01-21,Ukraine,Netherlands,The Hague,Schiphol,Work,2022-12-30,Conflict/War,Temporary Resident,,TRUE
Akira,Nowak,Female,1989-09-09,Japan,Italy,Bologna,Fiumicino,Diversity,2011-10-09,Economic Opportunity,Temporary Resident,,FALSE
Amina,Martinez,Female,1975-02-14,Brazil,United States,Dallas,SEA,Family,2003-03-10,Work,Permanent Resident,,FALSE
Yuki,Garcia,Female,2004-10-18,Pakistan,Netherlands,Groningen,Rotterdam The Hague,Diversity,2023-05-19,Study,Temporary Resident,,FALSE
Sofia,Ali,Male,1969-05-08,Bangladesh,Germany,Cologne,FRA,Investor,2024-05-05,Study,Temporary Resident,,FALSE
Aria,Costa,Male,1964-06-01,Nigeria,United Kingdom,Sheffield,Stansted,Refugee,2024-09-09,Work,Citizen,2034-05-19,TRUE
Leila,Hernandez,Male,2001-02-18,China,Australia,Adelaide,Perth Airport,Student,2024-11-07,Study,Permanent Resident,,FALSE
Ibrahim,Kumar,Female,1953-05-30,Romania,Australia,Canberra,Perth Airport,Work,2019-04-09,Conflict/War,Permanent Resident,,TRUE
David,Kumar,Male,1992-12-30,Dominican Republic,Australia,Hobart,Perth Airport,Skilled Worker,2014-06-04,Family Reunification,Citizen,2022-02-25,FALSE
Zoe,Ivanov,Female,1970-08-10,Peru,Spain,Valencia,Madrid–Barajas,Diversity,2007-05-08,Work,Permanent Resident,,FALSE
Omar,Nowak,Male,1974-06-04,South Korea,United States,Miami,MIA,Asylum,2021-10-03,Persecution,Permanent Resident,,TRUE
Emma,Ibrahim,Female,1967-08-25,Nigeria,United Kingdom,Edinburgh,Edinburgh Airport,Family,2015-10-11,Work,Undocumented,,FALSE
Akira,Nguyen,Female,1985-06-30,Brazil,United States,New York,BOS,Family,2008-01-29,Persecution,Permanent Resident,,TRUE
Amina,Zhang,Male,1976-06-03,Ukraine,Australia,Newcastle,Perth Airport,Family,2018-05-11,Family Reunification,Permanent Resident,,FALSE
Emma,Bauer,Male,1973-03-24,Spain,France,Lille,Orly,Work,2023-10-22,Work,Temporary Resident,,FALSE
Isabella,Jones,Female,1987-06-09,Peru,Germany,Frankfurt,HAM,Asylum,2016-11-22,Work,Permanent Resident,,TRUE
Maria,Kumar,Male,1989-12-14,China,Spain,Zaragoza,Malaga–Costa del Sol,Humanitarian,2022-12-18,Work,Permanent Resident,,FALSE
Noah,Abdul,Male,1957-10-11,Philippines,Spain,Palma,Valencia Airport,Family,2022-07-30,Work,Permanent Resident,,FALSE
Mohamed,Ali,Male,2000-04-05,Kenya,United Kingdom,Glasgow,Gatwick,Student,2022-06-20,Work,Permanent Resident,,FALSE
Ava,Williams,Female,1955-05-16,United Kingdom,Germany,Leipzig,DUS,Student,2021-12-27,Persecution,Citizen,2033-04-01,TRUE
Jin,Moretti,Male,1999-03-22,Romania,Germany,Munich,DUS,Work,2017-11-05,Work,Temporary Resident,,FALSE
Amina,Williams,Female,1999-12-24,Algeria,Canada,Edmonton,Ottawa Intl,Diversity,2024-03-25,Study,Departed,,FALSE
Diego,Chen,Female,1953-02-14,El Salvador,United States,Chicago,JFK Airport,Work,2012-11-16,Work,Temporary Resident,,FALSE
Igor,Ibrahim,Female,1961-06-15,Argentina,Australia,Darwin,Melbourne Airport,Asylum,2011-03-27,Family Reunification,Permanent Resident,,TRUE
Zoe,Li,Male,1950-09-07,South Africa,Spain,Murcia,Malaga–Costa del Sol,Family,2013-10-05,Work,Citizen,2023-07-27,FALSE
Maria,Zhang,Male,1955-07-11,Sri Lanka,United Kingdom,Liverpool,Stansted,Skilled Worker,2020-09-17,Study,Temporary Resident,,FALSE
Amina,Brown,Female,1989-02-10,Morocco,France,Montpellier,Orly,Student,2007-06-06,Work,Permanent Resident,,FALSE
Anita,Hernandez,Female,1968-03-29,Turkey,United States,Boston,DFW,Work,2014-07-31,Conflict/War,Departed,,TRUE
Yuki,Rodriguez,Male,1960-04-02,Egypt,Italy,Genoa,Turin Airport,Family,2023-01-10,Work,Citizen,2030-07-12,FALSE
Lucas,Miller,Female,1997-11-02,Guatemala,Spain,Murcia,Malaga–Costa del Sol,Work,2023-07-07,Family Reunification,Citizen,2031-11-02,FALSE
Priya,Yamada,Male,1997-07-19,Peru,Australia,Newcastle,Perth Airport,Work,2018-05-22,Family Reunification,Permanent Resident,,FALSE
Nina,Wang,Male,1996-04-04,Venezuela,Netherlands,Nijmegen,Rotterdam The Hague,Refugee,2014-08-03,Study,Temporary Resident,,TRUE
Olivia,Schmidt,Female,1999-01-09,Argentina,Canada,Mississauga,Vancouver Intl,Family,2020-12-12,Work,Permanent Resident,,FALSE
Priya,Ivanov,Female,1976-10-23,Guatemala,Italy,Bologna,Malpensa,Diversity,2002-04-05,Family Reunification,Permanent Resident,,FALSE
Ava,Ali,Male,1997-03-12,Nigeria,Sweden,Stockholm,Gothenburg Landvetter,Family,2017-10-10,Work,Citizen,2021-11-07,FALSE
Liam,Novak,Female,1983-06-15,Taiwan,Spain,Seville,Madrid–Barajas,Work,2008-04-06,Economic Opportunity,Citizen,2014-08-01,FALSE
Zoe,Davis,Female,1986-06-10,Portugal,Australia,Canberra,Adelaide Airport,Family,2022-02-20,Study,Permanent Resident,,FALSE
Alex,Popov,Male,1997-04-26,Egypt,Spain,Zaragoza,Palma de Mallorca,Skilled Worker,2025-08-21,Study,Citizen,2036-10-23,FALSE
Emma,Costa,Female,1995-06-02,Germany,Italy,Palermo,Malpensa,Work,2022-04-10,Family Reunification,Permanent Resident,,FALSE
Leila,Chen,Male,1958-05-16,Ireland,United States,San Francisco,SFO,Work,2014-11-19,Work,Permanent Resident,,FALSE
Zoe,Lopez,Female,1962-02-08,Venezuela,United States,Atlanta,BOS,Student,2012-08-17,Work,Citizen,2016-05-28,FALSE
Emma,Abdul,Male,1973-11-02,Philippines,Netherlands,Tilburg,Schiphol,Student,2011-08-27,Family Reunification,Permanent Resident,,FALSE
Emma,Zhang,Male,1988-08-20,Iraq,Netherlands,Rotterdam,Rotterdam The Hague,Work,2010-11-05,Work,Citizen,2018-04-06,FALSE
Camila,Wang,Female,1967-12-19,Guatemala,Canada,Ottawa,Ottawa Intl,Work,2012-01-16,Family Reunification,Permanent Resident,,FALSE
Elena,Miller,Male,1959-06-18,Poland,Germany,Cologne,MUC,Student,2025-09-11,Study,Temporary Resident,,FALSE
Wei,Silva,Male,1973-11-14,Nigeria,France,Nice,Lyon–Saint-Exupéry,Work,2013-08-07,Work,Permanent Resident,,FALSE
Omar,Williams,Male,1984-07-03,Portugal,Spain,Murcia,Valencia Airport,Work,2011-12-16,Work,Permanent Resident,,FALSE
Ibrahim,Williams,Female,2000-03-19,Italy,Germany,Frankfurt,MUC,Family,2021-05-16,Conflict/War,Citizen,2027-09-21,TRUE
Olivia,Hassan,Female,1989-06-04,Italy,Netherlands,Groningen,Rotterdam The Hague,Work,2023-06-14,Work,Permanent Resident,,FALSE
Noah,Ibrahim,Female,1999-07-23,Portugal,United States,Boston,LAX,Family,2025-02-15,Work,Citizen,2032-09-02,FALSE
Raj,Silva,Male,1972-05-14,Cuba,Australia,Sydney,Perth Airport,Work,2011-01-31,Work,Citizen,2023-01-03,FALSE
Zoe,Brown,Female,2002-09-13,Iran,Australia,Sydney,Perth Airport,Work,2022-07-19,Work,Permanent Resident,,FALSE
Jin,Johnson,Male,1978-11-02,Cuba,United Kingdom,Glasgow,Stansted,Student,2010-10-24,Conflict/War,Citizen,2017-03-30,TRUE
Sofia,Nguyen,Male,1998-12-26,China,Spain,Valladolid,Malaga–Costa del Sol,Work,2019-02-22,Work,Temporary Resident,,FALSE
Sofia,Bauer,Female,1998-11-09,Ireland,United States,Miami,HOU,Family,2021-07-21,Study,Temporary Resident,,FALSE
Camila,Kim,Female,1998-05-29,South Africa,Italy,Naples,Malpensa,Skilled Worker,2018-10-18,Persecution,Permanent Resident,,TRUE
Yuki,Perez,Male,1959-12-16,Romania,Sweden,Jonkoping,Arlanda,Work,2007-04-14,Work,Citizen,2016-04-27,FALSE
Fatima,Popov,Male,1968-09-19,Mexico,Canada,Edmonton,Montreal-Trudeau,Family,2020-02-20,Study,Permanent Resident,,FALSE
Aria,Khan,Female,1957-12-10,United Kingdom,Spain,Bilbao,Palma de Mallorca,Work,2023-08-30,Work,Permanent Resident,,FALSE
Alex,Moretti,Female,1957-12-29,South Korea,Sweden,Norrkoping,Malmo Airport,Refugee,2011-02-04,Persecution,Citizen,2015-05-23,TRUE
Emma,Ali,Male,1993-01-13,Portugal,Sweden,Linkoping,Arlanda,Work,2016-08-21,Work,Temporary Resident,,FALSE
Alex,Costa,Male,1993-02-09,Thailand,Spain,Barcelona,Barcelona–El Prat,Family,2013-04-09,Family Reunification,Permanent Resident,,FALSE
Nina,Zhang,Female,1999-12-16,Taiwan,Australia,Perth,Sydney Airport,Asylum,2017-12-18,Work,Permanent Resident,,TRUE
Anita,Rodriguez,Male,1952-03-06,Taiwan,Italy,Genoa,Turin Airport,Student,2016-10-04,Family Reunification,Permanent Resident,,FALSE
Lucas,Hassan,Male,1997-09-27,Afghanistan,United Kingdom,Bristol,Gatwick,Skilled Worker,2017-08-25,Family Reunification,Citizen,2027-03-29,FALSE
Ava,Johnson,Male,1958-07-25,United Kingdom,Sweden,Jonkoping,Gothenburg Landvetter,Work,2014-11-22,Work,Citizen,2025-07-07,FALSE
Ava,Popov,Male,1982-04-22,Algeria,United Kingdom,London,Stansted,Family,2004-11-14,Family Reunification,Undocumented,,FALSE
Chen,Yamada,Non-binary,1954-07-05,South Africa,Sweden,Helsingborg,Gothenburg Landvetter,Student,2010-01-07,Work,Temporary Resident,,FALSE
Ethan,Ali,Male,1972-04-15,Kenya,Netherlands,Groningen,Schiphol,Refugee,2005-11-08,Work,Permanent Resident,,TRUE
Anita,Ali,Male,1950-09-22,Bulgaria,Australia,Gold Coast,Brisbane Airport,Skilled Worker,2025-09-18,Study,Citizen,2034-09-20,FALSE
Sara,Ivanov,Non-binary,1978-06-25,Greece,France,Nantes,CDG,Family,2020-07-24,Work,Permanent Resident,,FALSE
Sofia,Ibrahim,Female,1960-09-13,Romania,Sweden,Helsingborg,Gothenburg Landvetter,Family,2007-01-13,Family Reunification,Citizen,2015-11-21,FALSE
Anna,Ivanov,Male,1987-10-12,France,Australia,Canberra,Adelaide Airport,Skilled Worker,2010-12-02,Study,Permanent Resident,,FALSE
Ibrahim,Miller,Female,1958-02-09,Portugal,Netherlands,Almere,Rotterdam The Hague,Work,2014-01-07,Work,Permanent Resident,,FALSE
Lucas,Khan,Non-binary,1978-06-05,South Korea,United States,Miami,MIA,Work,2007-03-01,Family Reunification,Citizen,2017-08-13,FALSE
Raj,Rodriguez,Female,2003-06-15,South Korea,Australia,Gold Coast,Adelaide Airport,Student,2024-12-20,Work,Temporary Resident,,FALSE
Raj,Wang,Male,1985-07-05,Germany,Germany,Bremen,FRA,Family,2008-10-12,Persecution,Permanent Resident,,TRUE
Maria,Moretti,Male,1968-04-19,Philippines,Australia,Hobart,Perth Airport,Diversity,2004-11-02,Conflict/War,Permanent Resident,,TRUE
Liam,Miller,Male,1987-07-11,Morocco,France,Montpellier,Lyon–Saint-Exupéry,Work,2011-06-17,Study,Citizen,2016-11-12,FALSE
Jin,Costa,Male,1996-05-02,Ireland,Netherlands,Rotterdam,Eindhoven Airport,Family,2025-01-03,Work,Temporary Resident,,FALSE
Priya,Jones,Male,1961-08-06,Kenya,Italy,Palermo,Naples Intl,Student,2005-06-25,Study,Temporary Resident,,FALSE
Mohamed,Silva,Female,1974-06-25,France,Germany,Dresden,MUC,Family,2000-11-17,Study,Permanent Resident,,FALSE
Lucas,Davis,Female,1985-09-08,Peru,United Kingdom,London,Heathrow,Skilled Worker,2015-03-04,Persecution,Departed,,TRUE
Anna,Popov,Female,1954-03-07,El Salvador,Australia,Hobart,Perth Airport,Family,2013-05-25,Work,Permanent Resident,,FALSE
Ahmed,Hassan,Female,1973-10-17,Germany,United Kingdom,Sheffield,Edinburgh Airport,Student,2017-06-18,Persecution,Permanent Resident,,TRUE
Ava,Costa,Female,1989-08-24,Algeria,Netherlands,Amsterdam,Eindhoven Airport,Student,2007-11-23,Work,Citizen,2016-02-09,FALSE
Hiro,Rossi,Male,1954-10-20,Guatemala,United States,Los Angeles,MIA,Work,2001-08-06,Climate/Disaster,Permanent Resident,,FALSE
Zoe,Costa,Male,1982-08-22,South Africa,United Kingdom,Liverpool,Gatwick,Asylum,2015-06-06,Work,Permanent Resident,,TRUE
Ibrahim,Kim,Male,1999-10-11,Ukraine,Spain,Madrid,Valencia Airport,Work,2018-08-19,Study,Undocumented,,FALSE
Isabella,Costa,Male,1969-05-29,Japan,Italy,Palermo,Fiumicino,Student,2004-04-24,Work,Citizen,2013-03-06,FALSE
Maria,Singh,Female,1961-03-05,Dominican Republic,Canada,Edmonton,Pearson Intl,Asylum,2010-07-11,Conflict/War,Temporary Resident,,TRUE
Anita,Park,Female,1950-10-09,Guatemala,Germany,Bremen,HAM,Student,2020-02-15,Work,Temporary Resident,,FALSE
Anita,Gonzalez,Female,2006-01-26,Sri Lanka,Italy,Florence,Naples Intl,Humanitarian,2024-05-10,Work,Permanent Resident,,FALSE
David,Jones,Male,1960-11-13,Poland,United Kingdom,Edinburgh,Manchester Airport,Family,2009-02-04,Work,Citizen,2020-11-05,FALSE
Ethan,Johnson,Male,1993-10-26,Germany,Sweden,Vasteras,Gothenburg Landvetter,Family,2017-12-15,Work,Citizen,2022-12-17,FALSE
Amina,Nowak,Female,1960-12-18,China,Australia,Sydney,Adelaide Airport,Family,2013-11-10,Climate/Disaster,Temporary Resident,,FALSE
Ahmed,Nowak,Female,1984-11-23,Germany,Sweden,Malmo,Gothenburg Landvetter,Family,2009-09-22,Family Reunification,Departed,,FALSE
Isabella,Costa,Female,1957-06-16,Afghanistan,Spain,Palma,Malaga–Costa del Sol,Family,2013-10-08,Work,Permanent Resident,,FALSE
Lucas,Moretti,Female,1992-11-14,Bangladesh,Germany,Bremen,HAM,Family,2019-02-20,Persecution,Permanent Resident,,TRUE
Lucas,Martinez,Female,2007-10-17,Dominican Republic,Spain,Madrid,Palma de Mallorca,Family,2025-10-12,Family Reunification,Permanent Resident,,FALSE
Leila,Hassan,Female,1956-02-15,Kenya,Australia,Darwin,Brisbane Airport,Family,2017-06-13,Study,Permanent Resident,,FALSE
Zoe,Moretti,Male,1990-08-10,Mexico,Spain,Valencia,Valencia Airport,Family,2022-06-07,Persecution,Citizen,2027-08-12,TRUE
Camila,Chen,Male,1959-07-21,Thailand,United States,Miami,BOS,Diversity,2011-08-09,Economic Opportunity,Undocumented,,FALSE
Elena,Khan,Female,1965-06-04,Sri Lanka,Australia,Perth,Sydney Airport,Diversity,2010-10-11,Study,Permanent Resident,,FALSE
Isabella,Popov,Female,1962-11-07,Pakistan,Italy,Naples,Fiumicino,Asylum,2016-04-08,Conflict/War,Permanent Resident,,TRUE
Zoe,Hassan,Female,1966-08-22,Japan,France,Lyon,Nice Côte d'Azur,Diversity,2004-11-17,Study,Permanent Resident,,FALSE
Sara,Abdul,Male,1955-08-18,Nigeria,Spain,Palma,Malaga–Costa del Sol,Student,2004-04-21,Family Reunification,Permanent Resident,,FALSE
Olivia,Lopez,Female,2002-06-30,Bulgaria,United States,Atlanta,LAX,Family,2025-05-27,Persecution,Permanent Resident,,TRUE
Omar,Kim,Female,2006-11-27,Peru,France,Nice,Nice Côte d'Azur,Refugee,2025-02-07,Conflict/War,Permanent Resident,,TRUE
Ethan,Popov,Female,1953-05-05,Nigeria,United Kingdom,Glasgow,Heathrow,Diversity,2022-08-04,Family Reunification,Permanent Resident,,FALSE
Liam,Rossi,Female,1964-01-14,Mexico,United Kingdom,Manchester,Stansted,Work,2006-08-14,Family Reunification,Permanent Resident,,FALSE
Maria,Rossi,Male,1989-03-23,Venezuela,Netherlands,Eindhoven,Eindhoven Airport,Diversity,2017-06-24,Study,Permanent Resident,,FALSE
Diego,Abdul,Male,1972-09-14,Egypt,Sweden,Gothenburg,Gothenburg Landvetter,Skilled Worker,2017-01-23,Work,Temporary Resident,,FALSE
Aria,Singh,Male,1977-09-29,Colombia,France,Nantes,Nice Côte d'Azur,Humanitarian,2006-05-30,Family Reunification,Citizen,2012-01-16,FALSE
Ahmed,Smith,Female,1972-01-29,Mexico,Sweden,Malmo,Arlanda,Work,2025-03-06,Family Reunification,Permanent Resident,,FALSE
Fatima,Nguyen,Male,1960-12-02,China,Australia,Adelaide,Adelaide Airport,Skilled Worker,2018-09-18,Work,Permanent Resident,,FALSE
Fatima,Garcia,Female,1950-05-11,Bangladesh,United States,Los Angeles,BOS,Student,2025-07-14,Study,Temporary Resident,,FALSE
Alex,Hernandez,Male,2006-05-19,Colombia,Germany,Munich,FRA,Skilled Worker,2024-12-01,Persecution,Permanent Resident,,TRUE
Isabella,Popov,Male,1952-03-08,Vietnam,Canada,Winnipeg,Vancouver Intl,Family,2022-03-08,Family Reunification,Permanent Resident,,FALSE
Liam,Moretti,Female,1952-08-12,Taiwan,Australia,Gold Coast,Melbourne Airport,Student,2010-01-09,Conflict/War,Temporary Resident,,TRUE
Leila,Kim,Female,1965-11-20,Guatemala,United Kingdom,Sheffield,Edinburgh Airport,Diversity,2011-11-10,Economic Opportunity,Permanent Resident,,FALSE
Raj,Perez,Female,1977-03-30,Peru,Sweden,Helsingborg,Gothenburg Landvetter,Skilled Worker,2011-08-06,Persecution,Temporary Resident,,TRUE
Sara,Khan,Female,1977-06-18,El Salvador,Australia,Newcastle,Sydney Airport,Student,2013-04-24,Family Reunification,Citizen,2018-01-10,FALSE
David,Williams,Male,1951-12-11,Sri Lanka,Canada,Vancouver,Pearson Intl,Work,2024-02-25,Work,Citizen,2034-07-25,FALSE
Liam,Johnson,Male,1972-09-05,Turkey,Sweden,Gothenburg,Malmo Airport,Asylum,2025-04-21,Work,Temporary Resident,,TRUE
Wei,Smith,Male,1954-03-09,Syria,Spain,Valencia,Palma de Mallorca,Family,2019-10-31,Work,Temporary Resident,,FALSE
Hassan,Costa,Male,1992-06-14,Spain,Germany,Leipzig,HAM,Family,2010-11-20,Work,Permanent Resident,,FALSE
Diego,Singh,Female,1962-09-12,Guatemala,Netherlands,Nijmegen,Eindhoven Airport,Work,2005-02-02,Work,Permanent Resident,,FALSE
Maria,Gonzalez,Male,1988-12-11,Bulgaria,Canada,Winnipeg,Ottawa Intl,Work,2021-01-23,Persecution,Temporary Resident,,TRUE
Ibrahim,Ali,Male,1963-03-10,Italy,Australia,Canberra,Melbourne Airport,Work,2010-01-09,Persecution,Permanent Resident,,TRUE
Igor,Silva,Female,2002-09-22,Ethiopia,France,Lyon,Nice Côte d'Azur,Student,2023-03-15,Family Reunification,Departed,,FALSE
Anita,Chen,Female,1954-08-01,Kenya,Netherlands,Nijmegen,Eindhoven Airport,Skilled Worker,2005-01-29,Climate/Disaster,Permanent Resident,,FALSE
Sara,Johnson,Female,2003-01-17,Greece,Canada,Edmonton,Pearson Intl,Diversity,2022-02-23,Economic Opportunity,Permanent Resident,,FALSE
Mohamed,Johnson,Male,1981-11-08,Ukraine,Australia,Hobart,Brisbane Airport,Work,2008-02-13,Study,Permanent Resident,,FALSE
Jin,Popov,Male,2002-05-05,Ireland,France,Paris,Orly,Work,2025-09-08,Climate/Disaster,Temporary Resident,,FALSE
Olivia,Miller,Male,1987-06-26,South Africa,France,Lille,Orly,Work,2019-01-03,Family Reunification,Temporary Resident,,FALSE
Akira,Davis,Female,1993-01-31,Sri Lanka,France,Nantes,Marseille Provence,Student,2015-05-01,Work,Temporary Resident,,FALSE
Camila,Kumar,Female,2006-09-01,Dominican Republic,Germany,Bremen,FRA,Student,2024-09-22,Economic Opportunity,Citizen,2036-05-20,FALSE
Elena,Garcia,Female,1966-11-17,Honduras,Sweden,Helsingborg,Arlanda,Work,2008-12-31,Persecution,Temporary Resident,,TRUE
